Kategorie	ID	Anbieter	Produkt	Merkmal	Rohwert	Beleg-URL	Finanzfluss-Linkkennung	Eigener Link	Nächster Belegweg
Girokonto	n26-go	N26	Go	Zins ab Start	gut	https://n26.com/de-de/tagesgeldkonto	n26-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-go	N26	Go	Dispo ab Start	gut	https://support.n26.com/de-de/app-und-produkte/dispokredit-und-kredit/wie-bekomme-ich-einen-dispokredit?gh_jid=801363	n26-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-metal	N26	Metal	Zins ab Start	gut	https://n26.com/de-de/tagesgeldkonto	n26-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-metal	N26	Metal	Dispo ab Start	gut	https://support.n26.com/de-de/app-und-produkte/dispokredit-und-kredit/wie-bekomme-ich-einen-dispokredit?gh_jid=801363	n26-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-smart	N26	Smart	Zins ab Start	gut	https://n26.com/de-de/tagesgeldkonto	n26-girokonto-smart		bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-smart	N26	Smart	Dispo ab Start	gut	https://support.n26.com/de-de/app-und-produkte/dispokredit-und-kredit/wie-bekomme-ich-einen-dispokredit?gh_jid=801363	n26-girokonto-smart		bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-standard	N26	Standard	Zins ab Start	gut	https://n26.com/de-de/tagesgeldkonto	n26-girokonto	/out/n26	bei Änderung erneut gegen Anbieter prüfen
Girokonto	n26-standard	N26	Standard	Dispo ab Start	gut	https://support.n26.com/de-de/app-und-produkte/dispokredit-und-kredit/wie-bekomme-ich-einen-dispokredit?gh_jid=801363	n26-girokonto	/out/n26	bei Änderung erneut gegen Anbieter prüfen
Girokonto	pax-bank-pax-bck-individuell	Pax-Bank	Pax-BCK Individuell	Zins ab Start	gut	https://www.pax-bank.de/konditionen-fuer-privatkunden.html			bei Änderung erneut gegen Anbieter prüfen
Girokonto	pax-bank-pax-bck-individuell	Pax-Bank	Pax-BCK Individuell	Dispo ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	postbank-giro-pur	Postbank	Giro pur	Zins ab Start	gut	https://www.postbank.de/dam/postbank/pdf/allgemein/Postbank-Preisaushang-678-147-007-0926a.pdf	postbank-start		bei Änderung erneut gegen Anbieter prüfen
Girokonto	postbank-giro-pur	Postbank	Giro pur	Dispo ab Start	gut	https://www.postbank.de/privatkunden/produkte/konten-karten/girokonten/giro-pur.html	postbank-start		bei Änderung erneut gegen Anbieter prüfen
Girokonto	psd-bank-n-rnberg-girodirekt	PSD Bank Nürnberg	GiroDirekt	Zins ab Start	offen		psd-bank-nuernberg-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	psd-bank-n-rnberg-girodirekt	PSD Bank Nürnberg	GiroDirekt	Dispo ab Start	offen		psd-bank-nuernberg-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	revolut-metal	Revolut	Metal	Zins ab Start	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	revolut-metal	Revolut	Metal	Dispo ab Start	gut	https://help.revolut.com/de-DE/help/credit-products/question-credit-overdraft-availability/	revolut		bei Änderung erneut gegen Anbieter prüfen
Girokonto	revolut-plus	Revolut	Plus	Zins ab Start	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	revolut-plus	Revolut	Plus	Dispo ab Start	gut	https://help.revolut.com/de-DE/help/credit-products/question-credit-overdraft-availability/	revolut		bei Änderung erneut gegen Anbieter prüfen
Girokonto	revolut-premium	Revolut	Premium	Zins ab Start	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	revolut-premium	Revolut	Premium	Dispo ab Start	gut	https://help.revolut.com/de-DE/help/credit-products/question-credit-overdraft-availability/	revolut		bei Änderung erneut gegen Anbieter prüfen
Girokonto	revolut-standard	Revolut	Standard	Zins ab Start	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	revolut-standard	Revolut	Standard	Dispo ab Start	gut	https://help.revolut.com/de-DE/help/credit-products/question-credit-overdraft-availability/	revolut		bei Änderung erneut gegen Anbieter prüfen
Girokonto	revolut-ultra	Revolut	Ultra	Zins ab Start	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	revolut-ultra	Revolut	Ultra	Dispo ab Start	gut	https://help.revolut.com/de-DE/help/credit-products/question-credit-overdraft-availability/	revolut		bei Änderung erneut gegen Anbieter prüfen
Girokonto	targobank-online-konto	Targobank	Online-Konto	Zins ab Start	offen		targobank-online-konto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	targobank-online-konto	Targobank	Online-Konto	Dispo ab Start	schlecht	https://www.targobank.de/de/konto-eroeffnen.html	targobank-online-konto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	tomorrow-change	Tomorrow	Change	Zins ab Start	offen		tomorrow-bank-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	tomorrow-change	Tomorrow	Change	Dispo ab Start	gut	https://www.tomorrow.one/de-DE/banking/dispo/?adjust_referrer=adjust_external_click_id%3DEAIaIQobChMI_f-M28_EgwMVIxSLCh2m8wPaEAAYASAAEgJTqvD_BwE	tomorrow-bank-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	tomorrow-now	Tomorrow	Now	Zins ab Start	offen		tomorrow-bank-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	tomorrow-now	Tomorrow	Now	Dispo ab Start	gut	https://www.tomorrow.one/de-DE/banking/dispo/?adjust_referrer=adjust_external_click_id%3DEAIaIQobChMI_f-M28_EgwMVIxSLCh2m8wPaEAAYASAAEgJTqvD_BwE	tomorrow-bank-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	tomorrow-plus	Tomorrow	Plus	Zins ab Start	offen		tomorrow-bank-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	tomorrow-plus	Tomorrow	Plus	Dispo ab Start	gut	https://www.tomorrow.one/de-DE/banking/dispo/?adjust_referrer=adjust_external_click_id%3DEAIaIQobChMI_f-M28_EgwMVIxSLCh2m8wPaEAAYASAAEgJTqvD_BwE	tomorrow-bank-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	trade-republic-girokonto	Trade Republic	Girokonto	Zins ab Start	offen		trade-republic-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	trade-republic-girokonto	Trade Republic	Girokonto	Dispo ab Start	offen		trade-republic-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	umweltbank-umweltgiro	UmweltBank	UmweltGiro	Zins ab Start	gut	https://www.umweltbank.de/konto-karte/girokonto/	umweltbank-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	umweltbank-umweltgiro	UmweltBank	UmweltGiro	Dispo ab Start	gut	https://www.umweltbank.de/konto-karte/girokonto/?search=2024	umweltbank-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	vivid-plus	Vivid	Plus	Zins ab Start	offen		vivid-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	vivid-plus	Vivid	Plus	Dispo ab Start	offen		vivid-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	vivid-prime	Vivid	Prime	Zins ab Start	offen		vivid-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	vivid-prime	Vivid	Prime	Dispo ab Start	offen		vivid-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	vivid-standard	Vivid	Standard	Zins ab Start	offen		vivid-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	vivid-standard	Vivid	Standard	Dispo ab Start	offen		vivid-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
